2021-09-28 00:14:11.989 +06:00 [INF] Application Starting up
2021-09-28 01:02:48.840 +06:00 [INF] Worker running at: "2021-09-28T01:02:48.8409272+06:00"
2021-09-28 01:03:08.855 +06:00 [INF] no file to delete
2021-09-28 01:03:08.855 +06:00 [INF] Worker running at: "2021-09-28T01:03:08.8554772+06:00"
2021-09-28 01:03:28.856 +06:00 [INF] no file to delete
2021-09-28 01:03:28.856 +06:00 [INF] Worker running at: "2021-09-28T01:03:28.8561174+06:00"
2021-09-28 01:03:48.872 +06:00 [INF] no file to delete
2021-09-28 01:03:48.873 +06:00 [INF] Worker running at: "2021-09-28T01:03:48.8729826+06:00"
2021-09-28 01:04:08.888 +06:00 [INF] no file to delete
2021-09-28 01:04:08.888 +06:00 [INF] Worker running at: "2021-09-28T01:04:08.8885022+06:00"
2021-09-28 01:04:28.905 +06:00 [INF] no file to delete
2021-09-28 01:04:28.905 +06:00 [INF] Worker running at: "2021-09-28T01:04:28.9056873+06:00"
2021-09-28 01:04:48.909 +06:00 [INF] no file to delete
2021-09-28 01:04:48.910 +06:00 [INF] Worker running at: "2021-09-28T01:04:48.9106515+06:00"
2021-09-28 01:05:08.916 +06:00 [INF] no file to delete
2021-09-28 01:05:08.916 +06:00 [INF] Worker running at: "2021-09-28T01:05:08.9167877+06:00"
2021-09-28 01:05:28.926 +06:00 [INF] no file to delete
2021-09-28 01:05:28.927 +06:00 [INF] Worker running at: "2021-09-28T01:05:28.9270306+06:00"
2021-09-28 01:05:48.949 +06:00 [INF] no file to delete
2021-09-28 01:05:48.950 +06:00 [INF] Worker running at: "2021-09-28T01:05:48.9509174+06:00"
2021-09-28 01:06:09.000 +06:00 [INF] no file to delete
2021-09-28 01:06:09.000 +06:00 [INF] Worker running at: "2021-09-28T01:06:09.0000562+06:00"
2021-09-28 01:06:29.009 +06:00 [INF] no file to delete
2021-09-28 01:06:29.009 +06:00 [INF] Worker running at: "2021-09-28T01:06:29.0093395+06:00"
2021-09-28 01:06:49.028 +06:00 [INF] no file to delete
2021-09-28 01:06:49.028 +06:00 [INF] Worker running at: "2021-09-28T01:06:49.0289079+06:00"
2021-09-28 01:07:09.043 +06:00 [INF] no file to delete
2021-09-28 01:07:09.043 +06:00 [INF] Worker running at: "2021-09-28T01:07:09.0437369+06:00"
2021-09-28 01:07:29.050 +06:00 [INF] no file to delete
2021-09-28 01:07:29.050 +06:00 [INF] Worker running at: "2021-09-28T01:07:29.0504193+06:00"
2021-09-28 01:07:49.061 +06:00 [INF] no file to delete
2021-09-28 01:07:49.062 +06:00 [INF] Worker running at: "2021-09-28T01:07:49.0620170+06:00"
2021-09-28 01:08:09.079 +06:00 [INF] no file to delete
2021-09-28 01:08:09.079 +06:00 [INF] Worker running at: "2021-09-28T01:08:09.0795055+06:00"
2021-09-28 01:08:29.095 +06:00 [INF] no file to delete
2021-09-28 01:08:29.095 +06:00 [INF] Worker running at: "2021-09-28T01:08:29.0958551+06:00"
2021-09-28 01:08:49.108 +06:00 [INF] no file to delete
2021-09-28 01:08:49.109 +06:00 [INF] Worker running at: "2021-09-28T01:08:49.1090759+06:00"
